Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2025-06-12 15:22:46,GTERI,22,180.0,
2025-06-12 15:25:46,GTERI,22,180.0,
2025-06-12 15:28:46,GTERI,22,180.0,
2025-06-12 15:31:46,GTERI,22,180.0,
2025-06-12 15:34:46,GTERI,22,180.0,
2025-06-12 15:37:46,GTERI,22,180.0,
2025-06-12 15:38:05,GTIGF,,,
2025-06-12 15:38:05,GTERI,12,,0.0
2025-06-12 15:40:52,GTIGN,,,
2025-06-12 15:40:56,GTERI,22,4.0,
2025-06-12 15:44:01,GTERI,22,185.0,
2025-06-12 15:45:56,GTIGF,,,
2025-06-12 15:45:57,GTERI,12,,1.0
2025-06-12 15:52:03,GTIGN,,,
2025-06-12 15:52:03,GTIGN,,,
2025-06-12 15:52:13,GTERI,22,10.0,
2025-06-12 15:53:42,GTIGF,,,
2025-06-12 15:53:42,GTERI,12,,0.0
2025-06-12 15:54:00,GTIGN,,,
2025-06-12 15:54:01,GTIGF,,,
2025-06-12 16:06:10,GTIGN,,,
2025-06-12 16:06:20,GTERI,22,10.0,
2025-06-12 16:06:21,GTIGF,,,
2025-06-12 16:06:21,GTERI,12,,0.0
2025-06-12 16:44:45,GTIGN,,,
2025-06-12 16:44:54,GTERI,22,9.0,
2025-06-12 16:47:52,GTERI,22,178.0,
2025-06-12 16:50:52,GTERI,22,180.0,
2025-06-12 16:53:52,GTERI,22,180.0,
2025-06-12 16:54:40,GTERI,12,,2899.0
2025-06-12 16:54:40,GTIGF,,,
2025-06-12 17:00:31,GTIGN,,,
2025-06-12 17:00:40,GTERI,22,9.0,
2025-06-12 17:03:36,GTERI,22,176.0,
2025-06-12 17:03:48,GTIGF,,,
2025-06-12 17:03:48,GTIGN,,,
2025-06-12 17:03:53,GTERI,22,5.0,
2025-06-12 17:06:54,GTERI,22,181.0,
2025-06-12 17:09:54,GTERI,22,180.0,
2025-06-12 17:12:54,GTERI,22,180.0,
2025-06-12 17:15:54,GTERI,22,180.0,
2025-06-12 17:18:54,GTERI,22,180.0,
2025-06-12 17:21:54,GTERI,22,180.0,
2025-06-12 17:24:54,GTERI,22,180.0,
2025-06-12 17:27:54,GTERI,22,180.0,
2025-06-12 17:30:54,GTERI,22,180.0,
2025-06-12 17:33:54,GTERI,22,180.0,
2025-06-12 17:36:54,GTERI,22,180.0,
2025-06-12 17:39:54,GTERI,22,180.0,
2025-06-12 17:41:42,GTERI,12,,2274.0
2025-06-12 17:41:42,GTIGF,,,
2025-06-12 17:48:48,GTIGN,,,
2025-06-12 17:49:00,GTERI,22,12.0,
2025-06-12 17:51:53,GTERI,22,173.0,
2025-06-12 17:54:53,GTERI,22,180.0,
2025-06-12 17:57:53,GTERI,22,180.0,
2025-06-12 18:00:53,GTERI,22,180.0,
2025-06-12 18:03:53,GTERI,22,180.0,
2025-06-12 18:06:53,GTERI,22,180.0,
2025-06-12 18:09:53,GTERI,22,180.0,
2025-06-12 18:12:53,GTERI,22,180.0,
2025-06-12 18:15:55,GTERI,22,182.0,
2025-06-12 18:18:55,GTERI,22,180.0,
2025-06-12 18:21:55,GTERI,22,180.0,
2025-06-12 18:24:55,GTERI,22,180.0,
2025-06-12 18:24:55,GTERI,22,0.0,
2025-06-12 18:27:55,GTERI,22,180.0,
2025-06-12 18:30:55,GTERI,22,180.0,
2025-06-12 18:33:55,GTERI,22,180.0,
2025-06-12 18:36:55,GTERI,22,180.0,
2025-06-12 18:39:55,GTERI,22,180.0,
