linha,bloco,ordem_no_bloco,latitude,longitude,latitude_anterior,longitude_anterior,Hodômetro Total,Hodômetro anterior,Hodômetro incremental do bloco,Data/Hora Evento,GNSS UTC Time,Tipo Mensagem,Motion Status,Distância incremental (m)
7046,182,3,-6.288097,-42.818084,-6.286556,-42.818106,574.6,574.4,0.20000000000004547,2025-06-17 20:45:46,,GTIGL,21,171.36887051384264
35503,692,6,-6.809682,-42.937017,-6.796643,-42.978604,1840.1,1835.7,4.599999999999909,2025-07-14 04:42:19,,GTPNR,21,4815.177360864003
37892,826,6,-6.266566,-42.823148,-6.298475,-42.811021,2258.4,2257.6,0.900000000000091,2025-07-15 05:33:15,,GTPNR,21,3792.8563461324457
