Linha Original,Data/Hora Evento,Tipo Mensagem,Velocidade absurda,Velocidade com ignição OFF
3030,2025-07-03 14:49:14,GTERI,,35.6
3032,2025-07-03 15:49:14,GTERI,,35.6
3034,2025-07-03 16:49:14,GTERI,,1.5
3182,2025-07-04 07:54:18,GTERI,,27.3
3185,2025-07-04 07:57:18,GTERI,,27.3
3186,2025-07-04 07:57:50,GTERI,,27.3
3188,2025-07-04 08:57:42,GTERI,,27.3
3190,2025-07-04 09:57:42,GTERI,,27.3
3192,2025-07-04 10:57:42,GTERI,,27.3
3194,2025-07-04 11:57:42,GTERI,,27.3
3196,2025-07-04 12:57:42,GTERI,,27.3
3198,2025-07-04 13:57:42,GTERI,,27.3
3200,2025-07-04 14:57:42,GTERI,,27.3
3202,2025-07-04 15:57:42,GTERI,,27.3
3535,2025-07-07 07:50:53,GTIGF,,8.8
3536,2025-07-07 07:50:53,GTSTT,,8.8
3540,2025-07-07 07:52:28,GTERI,,34.1
3543,2025-07-07 07:55:28,GTERI,,34.1
3544,2025-07-07 07:55:54,GTERI,,34.1
3546,2025-07-07 08:55:48,GTERI,,34.1
3548,2025-07-07 09:55:48,GTERI,,34.1
3550,2025-07-07 10:55:48,GTERI,,34.1
3552,2025-07-07 11:55:48,GTERI,,34.1
3554,2025-07-07 12:55:48,GTERI,,34.1
3556,2025-07-07 13:55:48,GTERI,,34.1
3558,2025-07-07 14:55:48,GTERI,,34.1
3560,2025-07-07 15:55:48,GTERI,,34.1
3562,2025-07-07 16:55:48,GTERI,,8.8
