linha,bloco,ordem_no_bloco,latitude,longitude,latitude_anterior,longitude_anterior,Hodômetro Total,Hodômetro anterior,Hodômetro incremental do bloco,Data/Hora Evento,GNSS UTC Time,Tipo Mensagem,Motion Status,Distância incremental (m)
63,1,26,-23.329807,-51.177707,-23.329912,-51.177049,0.1,0.0,0.1,2025-07-08 17:43:28,2025-07-08 17:43:28,GTSTT,21.0,68.1912435523395
144,1,63,-23.328564,-51.179861,-23.329942,-51.177651,0.4,0.1,0.4,2025-07-08 19:07:47,2025-07-08 19:07:47,GTSTT,21.0,272.75732448199795
214,1,96,-23.329525,-51.178192,-23.326124,-51.183498,2.3,1.9,2.3,2025-07-08 19:59:35,2025-07-08 19:59:33,GTERI,21.0,660.7054694964718
277,1,122,-23.32972,-51.177488,-23.330674,-51.177554,3.0,2.8,3.0,2025-07-08 20:38:02,2025-07-08 20:38:02,GTSTT,21.0,106.2939361819074
803,1,337,-23.329661,-51.177905,-23.329809,-51.17747,3.3,3.2,3.3,2025-07-09 06:43:40,2025-07-09 06:43:40,GTSTT,21.0,47.3659953728209
