bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,86,-23.326124,-51.183498,2025-07-08 19:50:35,0.9,21.0
1,87,-23.328552,-51.181125,2025-07-08 19:54:58,1.9,21.0
1,88,-23.326124,-51.183498,2025-07-08 19:56:35,1.9,21.0
1,89,-23.326124,-51.183498,2025-07-08 19:56:35,1.9,21.0
1,90,-23.326124,-51.183498,2025-07-08 19:56:35,1.9,21.0
1,91,-23.326124,-51.183498,2025-07-08 19:56:35,1.9,21.0
1,92,-23.326124,-51.183498,2025-07-08 19:56:35,1.9,21.0
1,93,-23.329525,-51.178192,2025-07-08 19:59:35,2.3,21.0
1,94,-23.329525,-51.178192,2025-07-08 19:59:35,2.3,21.0
1,95,-23.329525,-51.178192,2025-07-08 19:59:35,2.3,21.0
1,96,-23.329525,-51.178192,2025-07-08 19:59:35,2.3,21.0
1,97,-23.329525,-51.178192,2025-07-08 20:02:35,2.3,21.0
1,98,-23.329525,-51.178192,2025-07-08 20:02:35,2.3,21.0
1,99,-23.329525,-51.178192,2025-07-08 20:05:35,2.3,21.0
1,100,-23.330219,-51.177712,2025-07-08 20:10:03,2.4,21.0
1,101,-23.330219,-51.177712,2025-07-08 20:10:03,2.4,21.0
1,102,-23.330219,-51.177712,2025-07-08 20:10:03,2.4,21.0
1,103,-23.330219,-51.177712,2025-07-08 20:10:03,2.4,21.0
1,104,-23.329525,-51.178192,2025-07-08 20:11:35,2.4,21.0
1,105,-23.329525,-51.178192,2025-07-08 20:14:35,2.4,21.0
1,106,-23.329525,-51.178192,2025-07-08 20:17:35,2.4,21.0
1,107,-23.330219,-51.177712,2025-07-08 20:19:06,2.4,21.0
1,108,-23.330219,-51.177712,2025-07-08 20:20:35,2.4,21.0
1,109,-23.330219,-51.177712,2025-07-08 20:21:30,2.4,21.0
1,110,-23.33043,-51.177614,2025-07-08 20:22:35,2.4,21.0
1,111,-23.33043,-51.177614,2025-07-08 20:22:35,2.4,21.0
1,112,-23.33043,-51.177614,2025-07-08 20:22:35,2.4,21.0
1,113,-23.330219,-51.177712,2025-07-08 20:23:35,2.4,21.0
